"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"아주대학교","대학","사립","경기","17042494233","15664961098","51190420","1326342715","13182976698","3920095500","3270324840","1956408857","324910000","3711237501","30225470931"
"안양대학교","대학","사립","경기","9468915280","9344063480","24478800","100373000","6155535718","2810204950","802988999","854119619","23482000","1664740150","15624450998"
"연세대학교","대학","사립","서울","33617627475","26998049641","313066560","6306511274","29978395511","8654814153","10432740954","3447368420","940879000","6502592984","63596022986"
"연세대학교(원주)","대학","사립","강원","13525194000","12486494930","250711770","787987300","10215376750","2594828700","3146181080","1012757260","176885000","3284724710","23740570750"
"영남대학교","대학","사립","경북","45762068626","44648291976","41085175","1072691475","28049909110","14553572680","5755952150","953046320","395963300","6391374660","73811977736"
"영남신학대학교","대학","사립","경북","1533664747","1491686940","","41977807","628486510","24840000","87900000","35303010","6170000","474273500","2162151257"
"영산대학교","대학","사립","경남","13774763819","13566718979","116711240","91333600","7865390501","1077316840","2191322060","206994861","104922600","4284834140","21640154320"
"영산선학대학교","대학","사립","전남","37932070","","","37932070","65000000","","","","","65000000","102932070"
"예수대학교","대학","사립","전북","1541467460","1496317460","","45150000","570043450","196965100","201548000","25514850","","146015500","2111510910"
"예원예술대학교","대학","사립","전북","1850133940","1841086490","5500000","3547450","1639114000","290220500","515138000","","16820000","816935500","3489247940"
"용인대학교","대학","사립","경기","12971833750","12325305980","83111970","563415800","7992634935","2345524000","1392881000","276375910","163011000","3814843025","20964468685"
"우석대학교","대학","사립","전북","15372159458","15149997428","49807110","172354920","6741241100","1319637600","2507165390","209978220","198656650","2505803240","22113400558"
"우송대학교","대학","사립","대전","19592448485","19404096325","50963590","137388570","16386390551","7915611570","1494183640","3629920523","14502000","3332172818","35978839036"
"울산대학교","대학","사립","울산","21750181477","17635003102","18247300","4096931075","9677540429","4107731631","2199919670","1459564439","313397500","1596927189","31427721906"
"원광대학교","대학","사립","전북","32023102623","29859426965","405374760","1758300898","18489303428","4484620600","5396313816","715726490","563895200","7328747322","50512406051"
"원광디지털대학교","대학","사립","전북","6772382060","6762162060","","10220000","2585035640","147359500","337800500","10034640","21576000","2068265000","9357417700"
"위덕대학교","대학","사립","경북","7015597237","6744317687","165339550","105940000","4116837003","914126364","123654000","208528695","59861000","2810666944","11132434240"
"유원대학교","대학","사립","충북","8602326100","8486388660","10141440","105796000","5634728180","1085806000","185136000","141446040","42899300","4179440840","14237054280"
"을지대학교","대학","사립","대전","8105989527","7821312547","44043280","240633700","7849568290","3133353050","2693766500","513790040","12701500","1495957200","15955557817"
"이화여자대학교","대학","사립","서울","24870528338","21096117750","145344824","3629065764","25690017130","8120250590","11961090784","737394448","137153800","4734127508","50560545468"
"인제대학교","대학","사립","경남","19174683420","18681913820","38792900","453976700","11363994105","2675304700","4175068420","743900635","140175700","3629544650","30538677525"
